,Author last name,Author first name,birth_year,cave_canem_indicator,region,City of birth,State,Country,Childhood note,Community college or university,Graduate,Iowa,public_private_indicator,Ivy,HBCU,Poem Title,f0Mean,f0Range2sd,f0Entropy,f0MeanAbsVelocity,f0MeanAbsAccel,PauseCount,PauseRate,PauseDutyCycle,MeanPauseDuration,ComplexityAllPauses,ComplexitySyllables,ComplexityPhrases,IntensitySegmentMeanSD,IntensityMeanAbsVelocity,IntensityMeanAbsAccel,Dynamism,undergrad_study_indicator,graduate_study_indicator,poet_full_name
14,Sanchez,Sonia,1934.0,0,South,Birmingham ,Alabama,USA,,Hunter College (B.A. in political science),New York University ,0,1,0,0,Summer Words of a Situh Addict_Wobj.mat,179.22927430000001,2.166661892,3.043967255,0.624192366,0.594664402,37,0.647532377,0.145869793,0.22527027,5.6615605460000005,17.45446064,1.17949178,11.13875246,240.48111200000002,335.1362762,2.342275741,1,1,Sanchez Sonia
15,McElroy ,Colleen J. ,1935.0,0,Midwest,St. Louis,Missouri ,USA,,Kansas State University ,University of Washington (PhD in ethnolinguistic patterns of dialect differences and oral traditions),0,0,0,0,Sometimes the Way It Rains Reminds Me of You_Wobj.mat,171.2218384,1.020718872,3.276528608,1.546794674,1.6215317319999998,71,0.7580610720000001,0.33931240700000004,0.447605634,5.9855349,13.36634753,2.7275855239999998,2.21896266,184.4761705,148.66323069999999,3.357982104,1,1,McElroy  Colleen J. 
16,Clifton,Lucille,1936.0,0,Northeast,Depew ,New York,USA,"Grew up in Buffalo, NY", State University of New York at Fredonia (previously attended Howard University),,0,0,0,0,homage to my hips_Wobj.mat,285.75502819999997,1.249961831,3.859432027,1.4497607940000001,1.303252351,39,0.626908857,0.350667095,0.559358974,4.919529883,13.00459082,3.170363702,11.56891032,232.6900653,267.0074073,3.5036390969999998,1,0,Clifton Lucille
17,Clifton,Lucille ,1936.0,0,Northeast,Depew ,New York,USA,"Grew up in Buffalo, NY", State University of New York at Fredonia (previously attended Howard University),,0,0,0,0,won_t you celebrate with me_Wobj.mat,240.5161057,1.848863911,4.064915274,1.603140026,1.5321387080000002,32,0.546261523,0.27816661,0.50921875,4.4989016710000005,14.49928418,2.422485515,4.097279588,-205.14822009999997,233.265594,3.6387487039999997,1,0,Clifton Lucille 
18,Jordan,June,1936.0,0,NYC,Harlem,New York,USA,"Moved to e Bedford-Stuyvesant, Brooklyn at age 5.",,,0,0,0,0,Song of the Law Abiding Citizen June Jordan online-audio-converter.com_Wobj.mat,196.844175,2.416670687,4.006622913,1.354415677,1.413622885,81,0.799920995,0.157021529,0.196296296,5.933398669,15.21626728,2.613520842,3.7085182480000003,146.5089722,179.5590191,3.4522719989999997,0,0,Jordan June
19,Jordan ,June,1936.0,0,NYC,Harlem,New York,USA,"Moved to e Bedford-Stuyvesant, Brooklyn at age 5.",,,0,0,0,0,June Jordan - Poem About My Rights_Wobj.mat,221.6452832,1.04166654,3.598540868,1.341914286,1.537025475,217,0.6853208690000001,0.26056404699999997,0.38020737299999996,5.541106459,13.38141486,2.5438716009999998,4.709386015,146.51726440000002,136.2353024,3.237226562,0,0,Jordan  June
20,Derricotte,Toi,1941.0,1,Midwest,Hamtramck,Michigan,USA,,Wayne State University ,New York University (M.A. in English),0,1,0,0,Blackbottom_Wobj.mat,206.78799630000003,1.041626537,3.582443342,1.151059904,1.513641249,82,0.5612209979999999,0.298131545,0.5312195120000001,4.568776308,13.47252512,2.7920299660000003,2.710105514,171.0513194,185.7874446,3.1021272210000004,1,1,Derricotte Toi
21,Derricotte,Toi,1941.0,1,Midwest,Hamtramck,Michigan,USA,,Wayne State University ,New York University (M.A. in English),0,1,0,0,For Telly the Fish_Wobj.mat,218.74658990000003,2.083334157,4.015634896,1.6947466009999999,1.690541556,214,1.2288610070000001,0.412127825,0.335373832,9.010372992999999,14.85445419,3.162294368,2.948542715,157.1905856,189.39417849999998,3.84367091,1,1,Derricotte Toi
22,Giovanni,Nikki,1943.0,0,Midwest,Knoxville ,Tennessee ,USA,"Shorlty after her birth, family moved to Cincinnati, Ohio",Fisk University ,,0,1,0,1,Ego Tripping_Wobj.mat,156.4218698,2.08332685,3.8919291410000003,2.001654105,1.670888755,81,0.730025686,0.24226037600000003,0.331851852,5.529960915,16.29785074,2.99268473,3.731985438,171.6631648,183.00365530000002,4.1142441860000005,1,0,Giovanni Nikki
23,Giovanni,Nikki,1943.0,0,Midwest,Knoxville ,Tennessee ,USA,"Shorlty after her birth, family moved to Cincinnati, Ohio",Fisk University ,,0,1,0,1,Nikki Rosa_Wobj.mat,184.4561789,1.520971514,4.017203541000001,1.913578615,2.510306315,73,0.7697580009999999,0.23952127399999998,0.31116438399999996,5.993791627,15.70229368,2.472439046,3.305497631,212.3282719,186.3236105,3.9625710819999997,1,0,Giovanni Nikki
24,Parker,Pat,1944.0,0,West,Houston ,Texas,USA,,Los Angeles City College,San Francisco State College,0,0,0,0,my lover is a woman_Wobj.mat,171.1764363,0.854334431,3.489873652,1.703171995,2.181505416,152,1.015771184,0.309075114,0.304276316,7.501947024,14.27392785,2.384724882,4.606127283999999,167.6951645,153.3189858,3.542927202,1,1,Parker Pat
25,Parker,Pat,1944.0,0,West,Houston ,Texas,USA,,Los Angeles City College,San Francisco State College,0,0,0,0,Where Will You Be_Wobj.mat,275.4723935,1.166703167,3.641113781,1.937633828,1.6706833630000002,133,0.789926947,0.25853774399999996,0.327293233,6.25245626,15.23487067,2.3223408969999997,4.370548486000001,153.8141886,157.97261709999998,3.8291450339999997,1,1,Parker Pat
26,Walker,Alice,1944.0,0,South,Eatonton,Georgia,USA,,Sarah Lawrence College (previously attended Spelman College),,0,1,0,0,I Will Keep Broken Things_Wobj.mat,150.6171328,2.041651851,3.772814382,0.9317057329999999,1.072875662,107,0.582947426,0.41746118200000004,0.716121495,4.626296142,11.18395757,2.60229158,5.656621062,217.20804159999997,259.20111549999996,2.840259254,1,0,Walker Alice
27,Walker,Alice,1944.0,0,South,Eatonton,Georgia,USA,,Sarah Lawrence College (previously attended Spelman College),,0,1,0,0,You Confide in Me_Wobj.mat,163.9201625,2.3749930790000002,4.317810346,1.5977424530000002,1.717258455,124,0.593699129,0.330532414,0.556733871,4.740350285,13.17191239,2.4620423959999997,6.093450174,227.6699733,284.8731746,3.66594227,1,0,Walker Alice
28,Coleman,Wanda,1946.0,0,West,Los Angeles ,California,USA,,Enrolled be did not complete studies at  Los Angeles Valley College in Van Nuys and California State University at Los Angeles,,0,0,0,0,Wanda Why Aren_t You Dead_Wobj.mat,201.25502419999998,2.5410477190000003,4.109425552,1.8113943590000001,1.53010881,95,0.7601216190000001,0.36717874899999997,0.48305263200000004,5.902933158,14.36416853,2.863799255,7.390315642000001,180.1545836,179.2058169,3.9106821160000003,1,0,Coleman Wanda
29,Coleman ,Wanda,1946.0,0,West,Los Angeles ,California,USA,,Enrolled be did not complete studies at  Los Angeles Valley College in Van Nuys and California State University at Los Angeles,,0,0,0,0,My Car_Wobj.mat,232.4751437,2.6249962069999997,4.066975144,1.29712659,1.613537685,153,1.0400734170000001,0.383943442,0.36915032700000006,7.61857033,15.51180224,2.875884164,4.550209089,177.5627137,186.5936948,3.472530545,1,0,Coleman  Wanda
30,Nelson ,Marilyn,1946.0,0,Other,Cleveland ,Ohio,USA,grew up on military bases ,University of California-Davis,"M.A. University of Pennsylvania, PhD University of Minnesota ",0,0,1,0,Moonlily_Wobj.mat,167.14218780000002,2.250001478,3.686651367,0.6474945639999999,0.804063671,106,0.921939552,0.271232877,0.294198113,6.993779701,13.88506172,2.7723090710000005,8.768794075,362.1066948,526.942325,2.684671825,1,1,Nelson  Marilyn
