file,f0Mean,f0Range2sd,f0Entropy,f0MeanAbsVelocity,f0MeanAbsAccel,PauseCount,PauseRate,PauseDutyCycle,MeanPauseDuration,ComplexityAllPauses,ComplexitySyllables,ComplexityPhrases,IntensitySegmentMeanSD,IntensityMeanAbsVelocity,IntensityMeanAbsAccel,Dynamism
Modern Frame_Wobj.mat,161.0997633,1.791670034,3.634052206,1.037792518,1.019751931,295,0.884584245,0.305241536,0.345067797,6.6072637,12.73469167,1.970165903,4.826216425,198.8810538,214.9854584,2.849988297
Moonlily_Wobj.mat,167.1421878,2.250001478,3.686651367,0.647494564,0.804063671,106,0.921939552,0.271232877,0.294198113,6.993779701,13.88506172,2.772309071,8.768794075,362.1066948,526.942325,2.684671825
My Car_Wobj.mat,232.4751437,2.624996207,4.066975144,1.29712659,1.613537685,153,1.040073417,0.383943442,0.369150327,7.61857033,15.51180224,2.875884164,4.550209089,177.5627137,186.5936948,3.472530545
My Dad Asks _How Come Black Folk Can_t Just Write About Flowers__Wobj.mat,188.7801905,0.916611405,3.542280437,1.206183556,1.337222757,106,0.71033674,0.264600436,0.3725,5.578328744,13.89554361,1.693421226,5.988014037,197.5034524,177.1883783,2.974874738
My lips_Wobj.mat,302.2991603,1.166640387,3.711202795,1.587015675,2.103623361,147,1.108513687,0.318037855,0.286904762,8.421495927,14.29783251,3.102656394,6.26135644,227.7245647,261.9103365,3.622659598
Neighborhood Anthem_Wobj.mat,263.4957689,1.250646815,4.065179541,0.989281028,1.30841846,235,0.746837857,0.185660713,0.248595745,5.902112214,13.10997911,3.495671612,3.510975489,-236.3409832,285.7617675,3.201543014
Nikki Rosa_Wobj.mat,184.4561789,1.520971514,4.017203541,1.913578615,2.510306315,73,0.769758001,0.239521274,0.311164384,5.993791627,15.70229368,2.472439046,3.305497631,212.3282719,186.3236105,3.962571082
Non Sequitur_Wobj.mat,213.4997598,0.791648284,3.350516609,0.644400406,0.730443101,130,1.034331861,0.441977961,0.427307692,7.559414801,12.59685701,3.372661988,5.568377904,280.2805505,369.7540576,2.631385164
Off White by Venessa Marco_Wobj.mat,317.3612502,1.166640387,3.401124189,1.708866418,1.681325933,203,1.17592539,0.36421827,0.309729064,8.77621256,14.16456654,3.274706179,8.419315536,220.7927735,227.0412522,3.664556004
On Things of Which I am Ashamed_Wobj.mat,260.3859161,1.208318971,3.957116809,1.469486194,1.405494225,339,1.019150407,0.382797703,0.37560472,7.586123668,14.19357802,2.552790822,7.043357381,202.1631572,192.2668388,3.493960722
One Man at a Time_Wobj.mat,151.7816801,0.875071148,3.37383795,0.704822881,0.933293151,117,0.674798858,0.297286386,0.440555556,5.392856858,8.147107005,2.783409991,3.4338215,215.4794939,216.9525237,2.427539915
Paradise_Wobj.mat,192.6660675,0.89566466,3.368996757,1.106180704,1.054963637,50,0.862440707,0.330746011,0.3835,6.520136414,12.21016673,3.725792237,6.977299973,272.4636586,197.3031618,3.1035358
Parched_Wobj.mat,188.875439,0.791690846,3.353188207,1.112360097,1.126852723,100,0.885229938,0.339574204,0.3836,6.657607404,13.56661678,3.20077279,6.494756516,275.2586317,192.8107446,3.06903957
Patriarchy by Venessa Marco_Wobj.mat,337.1269827,1.157266093,2.913101277,1.284645442,1.317084672,276,1.561483409,0.337585924,0.216195652,10.72778219,16.20373275,3.077292101,6.232321603,258.0692331,272.0013714,3.174248196
Phenomenal Woman_Wobj.mat,126.1555092,1.87501023,4.191170889,1.201701901,1.527613694,60,0.461361015,0.089773164,0.194583333,3.890706097,16.01322057,1.240514987,6.280815662,288.1725151,436.5691241,3.170953022
Pigeon Man_Wobj.mat,232.1889855,0.979279632,3.629744189,1.576357318,1.650336748,152,0.65902144,0.170846973,0.259243421,5.138722965,11.88220503,1.712907655,3.247215553,-197.9217012,194.2861882,3.266990206
Poem at Thirty_Wobj.mat,172.242242,0.604082119,2.778946344,0.710845909,0.740751316,49,0.90464322,0.269731376,0.298163265,7.051752514,12.2000163,2.969158953,2.879045844,-112.4440356,94.16383383,2.438854281
Praise Song for the Day_Wobj.mat,220.0459813,1.562614367,3.728612773,1.087439789,1.146318303,216,0.87746024,0.43988788,0.501319444,6.616890306,11.26722843,3.039337174,4.012888744,181.9373835,212.5777881,3.045041683
Preachers_Wobj.mat,250.4768415,1.500048073,4.054366674,0.893844561,0.810526287,40,0.771679367,0.271341757,0.351625,6.047192806,11.66841775,2.830600888,3.690604353,199.629656,242.2002588,2.946244454
Prelude_Wobj.mat,178.1907142,0.812349471,3.262279715,0.715198913,0.820171586,66,0.703512232,0.383733944,0.545454545,5.522727693,11.38774959,3.631382593,4.049642644,256.6152067,310.3446137,2.666675862
Project Princess_Wobj.mat,126.187666,1.708337751,3.807658227,0.9908193,1.031190624,102,1.195359194,0.266084613,0.222598039,8.896487734,19.48207677,2.800746139,3.366031609,232.1421647,248.7843319,3.252299221
Public Restrooms Prelude_Wobj.mat,210.165493,1.166666351,3.795268809,1.394413223,1.521858222,130,0.921430343,0.281922245,0.305961538,6.968302642,13.0798154,2.6720559,4.096043116,277.5372651,305.4143923,3.354126037
Reason by Robin Coste Lewis_Wobj.mat,103.3306793,1.208309154,3.016036549,0.787950859,0.795226042,59,0.913171336,0.395140071,0.432711864,7.080885073,13.56221238,3.910339518,3.461902768,123.0823874,105.2717154,2.787956336
Red is the Mess_Wobj.mat,172.3907217,2.083326238,3.226948309,1.128968231,1.033223131,137,0.845705114,0.168091608,0.198759124,6.335702927,14.40452424,1.156150169,10.24416211,224.2716051,234.4253532,2.739935873
Redbone Shames the Devil_Wobj.mat,228.6360543,1.041642859,3.603568255,1.712839696,1.909996538,125,0.647920176,0.326888687,0.50452,4.975145193,14.83819578,2.329631479,5.137403343,198.5093456,202.9065994,3.59819368
