file,f0Mean,f0Range2sd,f0Entropy,f0MeanAbsVelocity,f0MeanAbsAccel,PauseCount,PauseRate,PauseDutyCycle,MeanPauseDuration,ComplexityAllPauses,ComplexitySyllables,ComplexityPhrases,IntensitySegmentMeanSD,IntensityMeanAbsVelocity,IntensityMeanAbsAccel,Dynamism
1984_Wobj.mat,311.8472708,1.208318971,3.680063525,1.093616326,1.328901637,218,1.119815076,0.387594709,0.346123853,8.42021694,12.53577965,3.838052373,4.369398001,259.4104829,329.9247875,3.21632854
A Bell Still Unrung by Safiya Sinclair_Wobj.mat,214.4129876,1.578127181,3.34703109,0.647106982,0.896618743,161,1.209571391,0.404943466,0.334782609,8.945434892,12.02711455,3.037030364,10.46436489,-183.1714688,156.5685729,2.555701472
A Woman Waits on Pins and Needles_Wobj.mat,212.8761679,1.291061284,3.96776141,1.791818366,2.134044231,435,1.080852756,0.388075834,0.359045977,8.138873484,13.47745535,3.138122861,5.125552385,-183.9156943,178.2736614,3.861981285
After I Came to Bed Unable to Understand Why Mike Brady is Beating Kunta Kinte.._Wobj.mat,157.954044,0.958347775,3.53928783,1.102763127,1.085308602,51,0.536305799,0.343971818,0.641372549,4.334822914,9.648156774,2.391626435,3.742378087,188.6006431,172.2414357,2.833717245
Ain_t I a Woman_Wobj.mat,265.1863106,0.666658674,2.946375966,1.199091156,1.297290573,164,1.160774321,0.301624376,0.259847561,8.476863974,13.09451853,3.924474062,5.920039531,307.0291067,358.4598655,3.128133467
All Is Not Lost When Dreams Are_Wobj.mat,168.9610718,1.874999401,3.747313451,1.070900441,1.02321622,205,0.789235596,0.342008508,0.433341463,5.970428399,12.87915464,3.075675236,4.776274927,223.6543358,261.6529757,3.102637281
All They Want is My Money My Pussy My Blood_Wobj.mat,197.269346,1.166683925,3.86992523,1.697960026,1.990988079,135,0.883189951,0.443950149,0.502666667,6.676990364,14.70751744,2.729280733,4.909723627,215.155489,172.5571353,3.72567828
Allison Joseph - Barbie_s Little Sister _Wobj.mat,175.7158537,0.958352738,3.38781765,1.094424093,1.407074101,189,1.37434555,0.380199244,0.276640212,9.704710188,15.99083772,3.270648185,3.864659364,147.4934289,119.8680619,3.166483535
American Smooth_Wobj.mat,200.6324731,1.455932247,3.882351917,1.158589933,1.252893633,64,0.787886249,0.2742829,0.348125,6.198853773,13.53758797,2.238474974,5.139644599,204.6469043,208.7952233,3.109965356
Angel_s Heart Clown_s the Ocean_Wobj.mat,311.8472708,1.208318971,3.680063525,1.093616326,1.328901637,218,1.119815076,0.387594709,0.346123853,8.42021694,12.53577965,3.838052373,4.369398001,259.4104829,329.9247875,3.21632854
Angry Black Woman_Wobj.mat,305.0698181,1.083318144,3.646698766,1.431184691,1.3915607,292,1.548784045,0.335720158,0.216763699,10.64358204,14.84846026,3.467227482,5.23438423,221.843625,249.6317841,3.54177697
Answers by tai-freedom-ford_Wobj.mat,181.8272699,1.833329519,2.638431091,0.853487237,0.861212364,190,0.779791098,0.29863947,0.382973684,6.135466856,11.93207526,3.131644541,3.394882334,162.4425578,192.8179564,2.544004751
April 5 1968_Wobj.mat,220.5520752,1.020983686,3.784909312,1.750187058,2.197187667,137,0.957305569,0.263119279,0.274854015,7.034429196,14.22410438,1.39654109,4.471594086,192.1128221,175.2002504,3.509215141
Arrival Day_Wobj.mat,243.068591,1.208386356,4.011655362,0.925137067,1.144295114,216,0.844640832,0.284694795,0.337060185,6.575376523,13.16844913,3.364146128,6.425602088,-259.1101704,308.4947149,3.107199948
Ashlee Haze - For Colored Girls The Missy Elliott Poem_Wobj.mat,303.9824301,0.875005363,3.505365637,1.711304002,2.000129388,241,1.420362458,0.278945042,0.196390041,10.06739174,17.21959692,1.463541531,5.040224306,246.4473498,240.1516414,3.514345059
Ashlee Haze - Shake What The Motherland Gave You_Wobj.mat,246.9499915,0.833301607,3.341376289,1.584766616,1.915556003,63,0.895077076,0.252397528,0.281984127,6.558725456,14.89901474,1.859937069,3.670855802,188.3687072,171.9690022,3.326822161
Aunt Jemima_Wobj.mat,236.5553762,2.270987602,4.003629056,0.99801619,1.016051071,161,0.978544946,0.313134383,0.32,7.296250348,12.34135873,2.964101704,7.577177458,281.8946639,334.7206434,3.073999317
Berry the sweeter_Wobj.mat,174.6269546,1.395994748,2.963477796,0.898341736,0.958089764,53,0.548853104,0.358773883,0.653679245,4.349198521,14.63473021,2.801178709,5.36444752,-198.897523,197.6113519,2.730471701
Black Girl Magic_Wobj.mat,232.5673518,1.083345175,3.71929659,2.092845637,2.282638476,166,1.206658428,0.341571564,0.283072289,8.736735255,14.3115508,2.30478292,6.807496689,218.4318503,197.0520327,3.956832884
Black Statue of Liberty_Wobj.mat,328.0849848,0.937329648,3.341793137,1.610833039,1.343498309,112,1.154282181,0.190662682,0.165178571,8.51413192,16.71757017,1.247760712,2.054525925,205.6625032,225.8164721,3.318512544
Black people sure can keep secrets_Wobj.mat,154.4109799,1.416703429,3.70428858,0.986859235,0.977946275,86,0.879210755,0.229974953,0.261569767,6.849600759,12.89812874,1.748834236,11.12603107,323.056908,475.8115209,2.794021924
Blackbottom_Wobj.mat,206.7879963,1.041626537,3.582443342,1.151059904,1.513641249,82,0.561220998,0.298131545,0.531219512,4.568776308,13.47252512,2.792029966,2.710105514,171.0513194,185.7874446,3.102127221
Blues Bop For Diz_Wobj.mat,115.87746,1.979324201,4.212918412,0.860988226,1.142539714,0,0,0,NaN,0.186095143,18.00857704,1.535284929,3.059789038,-352.9411403,574.1015108,2.989896992
Bootstraps_Wobj.mat,186.4339008,0.749950074,3.216501806,0.719335916,0.895744902,95,0.58301881,0.165822824,0.284421053,4.830238975,12.76370466,2.438120625,3.127571377,-255.7049379,347.5647522,2.511523767
Borderless Country by Kamilah Aisha Moon_Wobj.mat,190.0039265,0.937667134,3.624975119,1.212762994,1.122765289,67,0.615752229,0.267346751,0.434179104,5.032067392,15.98387538,2.913302174,3.247596893,119.3222368,108.9759455,3.286674306
Capitalism_Wobj.mat,275.484726,2.749999002,3.813543235,1.428053422,1.249660192,297,1.57898934,0.365108057,0.231228956,10.90852552,14.46600413,3.918988799,8.282209184,243.8913397,271.8777135,3.649218541
Ceremony for Remembering the Doorless World_Wobj.mat,183.954137,0.333380675,1.834459996,0.538147337,0.603136741,122,0.750076852,0.438825699,0.585040984,5.944019717,13.42396536,3.409747745,2.639620008,175.2624482,229.2857756,2.116451493
Characteristics of Life_Wobj.mat,192.6337885,1.041593709,3.780959373,1.162574661,1.195273076,206,0.691112826,0.324739155,0.469878641,5.428383969,13.35652003,2.474704456,5.79010277,156.3965692,147.2298034,3.115382894
Citizen excerpt_Wobj.mat,145.2764648,0.791730376,3.194227148,0.897005836,1.191887401,258,0.953665884,0.336499898,0.352848837,7.119595628,13.71590295,2.557242511,3.246838827,129.9527257,106.8499189,2.723336177
Colleen J. McElroy - The End of Civilization as We Know It _Wobj.mat,185.9644214,0.729022621,3.282472393,1.263579488,1.599825414,257,1.268071249,0.445773918,0.351536965,9.36500893,14.19207178,3.172019154,3.08990717,104.953012,85.51299589,3.205241332
Controlled Burn_Wobj.mat,282.4065467,1.041653547,3.69141968,1.48343423,1.932682789,251,1.426784902,0.374886312,0.262749004,9.915354379,15.74512754,2.232027826,5.17452045,198.2278865,183.9860067,3.432741496
Crowning_Wobj.mat,111.9278868,2.12498977,3.524330623,0.545628003,0.660315181,125,0.616933593,0.237790884,0.38544,4.759198523,12.19297648,2.795084847,6.915760341,-336.3058118,530.9836553,2.482273486
Damaged Photos by Amber Flora Thomas_Wobj.mat,163.8158181,0.500083815,2.587414043,0.51359052,0.608440643,41,0.579915134,0.241371994,0.416219512,4.68004125,10.80692377,2.437521485,3.442119471,179.0404768,177.6841158,2.059973795
Dim Lady by Harryette Mullen_Wobj.mat,207.1583502,1.249942417,3.707581733,1.034505582,1.326025429,61,0.753877526,0.233578447,0.309836066,5.96130352,14.29224367,2.15989258,4.383334679,215.0647618,265.9242219,2.959488305
Discourse on the Logic of Language_Wobj.mat,158.2435153,1.604339388,3.155234529,0.782952712,0.868222739,361,0.881132536,0.303490359,0.344432133,6.772655055,13.2515286,2.529785859,7.092019508,-179.7198541,165.669503,2.585042769
Don_t Let Me Be Lonely Part 2_Wobj.mat,175.9787712,0.396006921,2.360240172,0.931680033,0.975569523,43,0.590334981,0.3460324,0.586162791,4.461794695,13.85440338,2.563158654,2.68936429,107.1365969,77.07411295,2.510948689
Ego Tripping_Wobj.mat,156.4218698,2.08332685,3.891929141,2.001654105,1.670888755,81,0.730025686,0.242260376,0.331851852,5.529960915,16.29785074,2.99268473,3.731985438,171.6631648,183.0036553,4.114244186
Erasure_Wobj.mat,195.7405987,0.833287993,3.398402305,1.081711053,1.197098536,90,0.843921422,0.293544001,0.347833333,6.607118808,15.21032423,2.629363607,4.257047862,-224.3427948,219.7121285,3.022357146
Eve_Wobj.mat,299.4317771,1.312371753,3.729655185,1.996335859,2.046327503,185,1.090994869,0.353895147,0.324378378,8.253670271,14.82611684,3.194969137,7.929328572,196.2620044,185.0044497,4.038315574
Excerpt from _Home__Wobj.mat,196.3056485,1.250046127,2.873487852,0.767603805,0.89705449,116,1.03910064,0.344963497,0.331982759,7.958293033,14.30159779,3.299780038,6.407858772,-231.3446274,217.9342258,2.653576833
Facing US_Wobj.mat,176.9945695,0.784323159,3.275440681,1.104724146,1.087323899,88,1.067054687,0.415969443,0.389829545,8.153592914,13.27928621,3.142530602,3.443705699,194.5408175,174.2336682,3.018179412
Father_s Voice by Kamilah Aisha Moon_Wobj.mat,182.9947889,0.833375921,3.510718105,1.053865034,1.036852255,57,0.745390349,0.305740813,0.410175439,5.998371913,14.02428105,2.726532688,2.727515744,113.7551217,101.777226,3.001679227
Fck I Look Like_Wobj.mat,268.3030471,1.208386356,3.720855585,1.130924919,1.207201187,163,0.89634314,0.194445972,0.216932515,6.664870791,13.7580776,3.707334378,3.931968935,282.3306413,349.7628962,3.287461038
Feminist or a Womanist_Wobj.mat,278.1320008,1.062636248,3.715347634,0.858631541,0.972744077,259,1.221122112,0.326096181,0.267046332,8.91453004,12.26771407,4.855882217,4.525670466,287.1371079,365.5645953,3.169930195
Footnotes for Kanye_Wobj.mat,238.8227191,1.37504674,4.104633289,1.491105329,1.381450986,274,0.970994206,0.278700144,0.287025547,7.103781721,14.17346086,2.377249789,9.166488766,241.5302713,259.8962936,3.528245568
For My People_Wobj.mat,236.3222561,1.250021239,3.767773484,1.516819035,1.375375815,370,1.375490251,0.411029945,0.298824324,10.01924584,12.81330082,3.972645582,3.450690334,206.9298992,289.959931,3.662973991
For Telly the Fish_Wobj.mat,218.7465899,2.083334157,4.015634896,1.694746601,1.690541556,214,1.228861007,0.412127825,0.335373832,9.010372993,14.85445419,3.162294368,2.948542715,157.1905856,189.3941785,3.84367091
For Women Who Are Difficult to Love_Wobj.mat,177.2301932,1.916667717,2.28260985,0.805802549,0.834367308,78,0.623301902,0.343575196,0.551217949,5.02046794,13.45385571,3.035631778,3.112739593,166.5482314,200.3171119,2.435337321
Free Radical_Wobj.mat,165.2384511,1.666676349,3.188281829,0.820535885,0.84204892,119,0.979827089,0.424248662,0.432983193,7.436699389,13.35767442,3.178589255,3.240196649,136.9252682,119.8119414,2.740716451
Frequently Asked Questions No 5_Wobj.mat,189.48521,0.999946447,3.781960911,1.14319013,1.117160239,254,0.661337777,0.326372797,0.493503937,5.176241109,13.60452935,2.535301768,5.743813221,162.0393795,151.2231739,3.117359165
Friends With Benefits_Wobj.mat,287.0757157,0.958299661,3.537265691,1.429634326,1.957793576,159,1.238703646,0.30410564,0.245503145,8.900722261,15.66768081,2.681627861,7.102088498,241.4830492,273.8334582,3.40862639
Girlfriend_s Train_Wobj.mat,245.8065873,1.708303509,3.250224356,1.545675796,1.860385676,149,0.888120641,0.254127675,0.28614094,6.855129611,14.36726581,1.971409823,4.055845121,200.1144655,195.7633347,3.261938339
Gravity_Wobj.mat,180.3846896,2,3.290997784,0.762474791,0.909949635,63,0.827803692,0.26042967,0.314603175,6.297970379,11.8854041,2.646973058,3.620756765,229.2817782,229.9021182,2.574634185
Happy Father_s Day_Wobj.mat,318.7659826,1.208318971,3.48314969,1.911650487,2.306124849,176,1.130560463,0.283603661,0.250852273,8.245512947,16.03262358,3.020158812,6.379887055,228.3529112,206.523749,3.903596813
Headwind by Amber Flora Thomas_Wobj.mat,182.4522176,0.541674638,2.668611863,0.619141918,0.8649095,33,0.508474576,0.272265023,0.535454545,4.210496543,11.06643788,2.94734758,2.99616276,178.3259332,163.9478149,2.275169614
House of the Ten Plagues_Wobj.mat,142.5843171,1.895981149,3.345863632,0.848907774,1.009734889,80,0.739303207,0.256584419,0.3470625,5.98874998,12.8695063,2.661666658,10.73725631,212.962414,279.6671487,2.709995379
